"Date","Android","iOS","Series 40","SymbianOS","Samsung","Unknown","BlackBerry OS","Windows","Linux","Sony Ericsson","bada","LG","Nokia Unknown","Nintendo 3DS","Playstation","Brew","Nintendo","Motorola","MeeGo","JAVA","Other"
2013-01,36.87,25.85,12.86,8.86,5.03,4.31,3.39,1.1,0.09,0.71,0.44,0.03,0,0.15,0.1,0.07,0.04,0.03,0.03,0.01,0.03
2013-02,36.9,27.21,12.61,8.18,4.79,4.25,3.32,1.12,0.08,0.65,0.41,0.03,0,0.15,0.09,0.07,0.04,0.03,0.03,0.01,0.02
2013-03,37.23,27.14,12.58,7.98,4.68,4.29,3.27,1.22,0.08,0.63,0.4,0.03,0,0.17,0.1,0.06,0.04,0.03,0.03,0.01,0.03
2013-04,38.34,26.46,12.5,7.75,4.53,4.36,3.27,1.28,0.08,0.6,0.39,0.03,0,0.16,0.09,0.03,0.04,0.03,0.03,0.01,0.02
2013-05,38.27,25.86,12.74,7.68,4.57,4.65,3.47,1.35,0.07,0.58,0.37,0.03,0,0.1,0.09,0.03,0.04,0.03,0.03,0.01,0.02
2013-06,37.93,25.09,13.43,7.69,4.75,4.87,3.46,1.43,0.06,0.57,0.35,0.03,0,0.1,0.08,0.03,0.04,0.03,0.02,0.01,0.02
2013-07,38.34,24.79,14.38,6.39,4.64,3.63,3.66,1.57,1.11,0.54,0.32,0.31,0,0.09,0.08,0.03,0.04,0.03,0.02,0.02,0.01
2013-08,39.52,23.44,14.24,6.33,4.59,3.55,3.75,1.67,1.49,0.5,0.31,0.32,0,0.05,0.07,0.03,0.04,0.03,0.02,0.03,0.01
2013-09,39.82,22.73,14.13,6.3,4.82,3.75,3.75,1.75,1.61,0.49,0.3,0.33,0,0.04,0.05,0.02,0.03,0.02,0.02,0.03,0.01
2013-10,39.39,20.54,14.64,6.49,4.97,5.35,3.81,1.76,1.6,0.57,0.25,0.41,0,0.03,0.04,0.02,0.02,0.02,0.02,0.04,0.01
2013-11,41.31,21.94,13.6,5.45,4.77,4.12,3.84,2.01,1.1,0.55,0.25,0.39,0.5,0.03,0.03,0.02,0.02,0.03,0.02,0.01,0.01
2013-12,42.99,21.82,13.02,4.95,4.54,4.3,3.63,2.13,0.81,0.48,0.25,0.34,0.61,0.02,0.03,0.02,0.02,0.02,0.02,0,0
